Mode,,,รายละเอียดภาพ,,Polarization,,ข้อมูลในคลัง,,,ข้อมูลชนิดสั่งถ่าย,
,,,(Resolution),,,,(Standard Archive),,,(Standard Tasking),
,GaoFen-3 (C band),,,,,,,,,,
Spotlight (SL),,1 m.,,,"HH, VV","116,400",,,"180,500",,
Ultra-fine Stripmap (UFS),,3 m.,,,"HH, VV","68,900",,,"118,800",,
Fine Stripmap (FSI),,5 m.,,,"HH, VV","64,200",,,"95,000",,
Wide Fine Stripmap (FSII),,10 m.,,,"HH, HV / VV, VH","64,200",,,"90,300",,
Standard Stripmap (SS),,25 m.,,,"HH, HV / VV, VH","54,700",,,"85,500",,
Narrow ScanSAR (NSC),,50 m.,,,"HH, HV / VV, VH","32,100",,,"42,800",,
Wide ScanSAR (WSC),,100 m.,,,"HH, HV / VV, VH","32,100",,,"45,800",,
Quad-pol Stripmap (QPSI),,8 m.,,,"HH, HV / VV, VH","71,300",,,"137,800",,
Wide Quad-pol Stripmap (QPSII),,25 m.,,,"HH, HV / VV, VH","71,300",,,"137,800",,
Wave (WAV),,10 m.,,,"HH, HV / VV, VH","10,700",,,"14,300",,
Global Observation (GLO),,500 m.,,,"HH, HV / VV, VH","10,700",,,"14,300",,
Extended Incidence Angle (EXT),,25 m.,,,"HH, HV / VV, VH","42,800",,,"57,000",,
,ดาวเทียม,,รายละเอียดภาพ,,,,ข้อมูลในคลัง,,,การติดตาม,
,(Satellite),,(Resolution),,,,(Standard Archive),,,(Monitoring),
PLANETSCOPE,,,3 m.,,Access+Download,180,,,240,,
,"พื้นที่การสั่งขั้นต่ า 100 ตร.กม.
",,,,,,,,,,
,"**ระยะเวลาสัญญา 1 ปี
",,,,,,,,,,
,"เข้าดูข้อมูลและดาวน์โหลดผ่าน Planet Explorer, Planet API, Desktop GIS
",,,,,,,,,,
